Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 Honda Fit,1.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HOC081A121001.jpg,29 City / 36 Hwy,5 Passengers,6-spd man w/OD,130 @ 6600 rpm,front-wheel,"['1.5L I-4 Engine', '6-spd man w/OD Transmission', '130 @ 6,600 rpm Horsepower', '114 @ 4,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '15"" steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2010 HUMMER H3 SUV,3.7LI-5,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC00HUS051A0101.jpg,14 City / 18 Hwy,5 Passengers,5-spd man w/OD,239 @ 5800 rpm,four-wheel,"['3.7L I-5 Engine', '5-spd man w/OD Transmission', '239 @ 5,800 rpm Horsepower', '241 @ 4,600 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'XM AM/FM/Satellite, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'cloth Seat trim', 'driver Lumbar support']"
2010 HUMMER H3T,3.7LI-5,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC00HUT011A0101.jpg,14 City / 18 Hwy,5 Passengers,5-spd man w/OD,239 @ 5800 rpm,four-wheel,"['3.7L I-5 Engine', '5-spd man w/OD Transmission', '239 @ 5,800 rpm Horsepower', '241 @ 4,600 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '16"" gray steel Wheels', 'front air conditioning, manual', 'XM AM/FM/Satellite, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'cloth Seat trim', 'driver Lumbar support']"
2009 HUMMER H2 SUT,6.2LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAB90HUS041A0101.jpg, City /  Hwy,5 Passengers,6-spd auto w/OD,393 @ 5700 rpm,four-wheel,"['6.2L V-8 Engine', '6-spd auto w/OD Transmission', '393 @ 5,700 rpm Horsepower', '415 @ 4,300 rpm Torque', 'four-wheel Drive type', 'ABS Traction control', '1st row regular express open sliding and tilting glass Sunroof', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'XM AM/FM/Satellite, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim', 'driver and passenger Lumbar support']"
2009 HUMMER H2 SUV,6.2LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAB90HUS031A0101.jpg, City /  Hwy,5 Passengers,6-spd auto w/OD,393 @ 5700 rpm,four-wheel,"['6.2L V-8 Engine', '6-spd auto w/OD Transmission', '393 @ 5,700 rpm Horsepower', '415 @ 4,300 rpm Torque', 'four-wheel Drive type', 'ABS Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'XM AM/FM/Satellite, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim', 'driver and passenger Lumbar support']"
2019 Hyundai Tucson,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HYS021B021001.jpg,23 City / 30 Hwy,5 Passengers,6-spd w/OD,161 @ 6200 rpm,front-wheel,"['2.0L I-4 Engine', '6-spd w/OD Transmission', '161 @ 6,200 rpm Horsepower', '150 @ 4,700 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'YES Essentials premium cloth Seat trim']"
2019 Hyundai Veloster,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HYC161A121001.jpg,25 City / 33 Hwy,4 Passengers,6-spd man w/OD,147 @ 6200 rpm,front-wheel,"['2.0L I-4 Engine', '6-spd man w/OD Transmission', '147 @ 6,200 rpm Horsepower', '132 @ 4,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim']"
2019 Hyundai Accent,1.6LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80HYC012A121001.jpg,28 City / 37 Hwy,5 Passengers,6-spd man w/OD,130 @ 6300 rpm,front-wheel,"['1.6L I-4 Engine', '6-spd man w/OD Transmission', '130 @ 6,300 rpm Horsepower', '119 @ 4,850 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '15"" steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Hyundai Sonata,2.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80HYC031C021001.jpg,26 City / 35 Hwy,5 Passengers,6-spd w/OD,185 @ 6000 rpm,front-wheel,"['2.4L I-4 Engine', '6-spd w/OD Transmission', '185 @ 6,000 rpm Horsepower', '178 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'YES Essentials premium cloth Seat trim']"
2019 INFINITI Q50,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC80INC252B021001.jpg,23 City / 30 Hwy,5 Passengers,7-spd auto w/OD,208 @ 5500 rpm,rear-wheel,"['2.0L I-4 Engine', '7-spd auto w/OD Transmission', '208 @ 5,500 rpm Horsepower', '258 @ 1,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leatherette Seat trim', 'driver Lumbar support']"
